                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14397          2          4          0          0          0          0
       TIMER:      75006      65519      65358      64535      70589      70405      49599      46561
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58372      50184      46504      45858      46461      46991      38864      33272
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49863      48363      51421      50651      54761      54936      41103      40258
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14481          2          4          0          0          0          0
       TIMER:      75057      65573      65407      64601      70639      70446      49664      46629
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58420      50228      46550      45910      46499      47029      38909      33306
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49912      48416      51469      50687      54809      54975      41165      40316
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14568          2          4          0          0          0          0
       TIMER:      75113      65634      65459      64655      70697      70504      49722      46699
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58473      50282      46593      45958      46540      47078      38952      33345
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49960      48471      51513      50737      54860      55030      41214      40371
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14647          2          4          0          0          0          0
       TIMER:      75169      65687      65517      64694      70750      70546      49759      46750
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58526      50330      46641      45997      46590      47115      38988      33394
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50006      48522      51565      50776      54904      55070      41250      40415
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14728          2          4          0          0          0          0
       TIMER:      75218      65757      65567      64744      70806      70596      49808      46800
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58574      50399      46691      46048      46647      47165      39034      33442
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50055      48578      51609      50825      54956      55118      41296      40464
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14809          2          4          0          0          0          0
       TIMER:      75276      65813      65617      64802      70879      70669      49865      46862
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58633      50453      46732      46104      46687      47205      39068      33468
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50110      48627      51657      50876      55013      55184      41347      40521
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14888          2          4          0          0          0          0
       TIMER:      75327      65861      65664      64857      70941      70715      49917      46901
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58684      50498      46777      46156      46742      47231      39108      33498
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50156      48676      51703      50922      55060      55229      41394      40559
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14973          2          4          0          0          0          0
       TIMER:      75393      65915      65729      64900      70978      70765      49975      46953
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58746      50550      46840      46198      46776      47277      39155      33548
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50211      48726      51756      50963      55093      55276      41448      40608
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15047          2          4          0          0          0          0
       TIMER:      75440      65973      65769      64942      71042      70808      50020      47004
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58789      50604      46871      46234      46830      47312      39188      33590
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50256      48771      51794      51001      55147      55317      41491      40658
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15142          2          4          0          0          0          0
       TIMER:      75511      66048      65829      65005      71102      70860      50084      47067
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58853      50667      46921      46288      46880      47355      39228      33631
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50319      48832      51852      51061      55200      55368      41553      40719
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15221          2          4          0          0          0          0
       TIMER:      75556      66098      65894      65042      71143      70901      50133      47118
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58898      50710      46983      46325      46918      47395      39275      33680
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50362      48872      51883      51095      55240      55405      41592      40763
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15291          2          4          0          0          0          0
       TIMER:      75598      66144      65954      65083      71180      70954      50174      47163
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58935      50755      47040      46364      46953      47448      39315      33723
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50400      48913      51924      51135      55275      55448      41628      40804
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15377          2          4          0          0          0          0
       TIMER:      75648      66195      66021      65142      71243      71009      50233      47217
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58987      50798      47108      46408      47011      47496      39356      33773
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50450      48962      51977      51191      55330      55500      41685      40858
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15495          2          4          0          0          0          0
       TIMER:      75719      66284      66115      65227      71310      71096      50306      47299
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      59058      50868      47189      46476      47066      47559      39395      33815
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50519      49040      52047      51266      55393      55577      41744      40930
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15575          2          4          0          0          0          0
       TIMER:      75772      66335      66178      65284      71369      71142      50368      47352
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      59108      50916      47246      46521      47111      47599      39426      33850
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50572      49090      52100      51314      55445      55621      41800      40979
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15689          2          4          0          0          0          0
       TIMER:      75860      66423      66253      65368      71468      71225      50463      47436
      NET_TX:        883        701       3707       4957        740        590       3742       2994
      NET_RX:      17652      19497       4336       5734         42         44       2716       2043
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13555      34025        396        509        208        128         59          5
       SCHED:      59172      50986      47303      46585      47178      47653      39476      33895
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50651      49166      52175      51390      55525      55689      41879      41054
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15784          2          4          0          0          0          0
       TIMER:      75915      66480      66314      65434      71517      71283      50528      47497
      NET_TX:        883        701       3707       4960        740        590       3745       2994
      NET_RX:      17664      19511       4336       5737         42         46       2718       2045
       BLOCK:      55939       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13571      34025        396        509        208        128         59          5
       SCHED:      59223      51027      47353      46639      47213      47693      39529      33937
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50704      49217      52224      51450      55573      55742      41940      41111
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15880          2          4          0          0          0          0
       TIMER:      75976      66548      66385      65489      71562      71342      50586      47562
      NET_TX:        884        701       3707       4960        740        590       3750       2994
      NET_RX:      17668      19515       4338       5737         42         46       2718       2045
       BLOCK:      55940       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13577      34025        396        509        208        128         59          5
       SCHED:      59272      51087      47407      46685      47250      47730      39577      33990
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      50763      49275      52284      51501      55616      55798      41996      41174
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      15986          2          4          0          0          0          0
       TIMER:      76046      66616      66460      65565      71638      71409      50664      47629
      NET_TX:        887        701       3793       4961        741        590       3750       2995
      NET_RX:      17788      19635       4398       5737         42         46       2718       2045
       BLOCK:      55940       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13639      34025        408        509        208        128         59          5
